,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,17.637918
40,18.7233
41,0.0
42,0.0
43,2.678751
44,4.546049
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,1.3579979
53,0.0
54,0.0
55,6.3884583
56,1.4590988
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.6415367
65,0.0
66,0.0
67,2.696682
68,4.0241947
69,1.2163
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,1.5476165
77,0.0
78,0.0
79,1.7264795
80,4.20305
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.2550354
91,0.0
92,0.93349457
93,2.4741554
94,0.0
95,0.5004139
96,0.0
97,0.7950001
98,0.07406807
99,3.3128743
100,8.989753
101,1.7352748
102,0.0
103,0.0
104,0.0
105,0.0
106,0.7767391
107,0.08420372
108,0.0
109,0.0
110,0.0
111,1.0786896
112,0.0
113,0.0
114,0.0
115,0.052137375
116,0.0
117,0.105623245
118,0.06841087
119,0.0
120,0.4765663
121,0.13042784
122,0.5752754
123,0.36066532
124,0.05565214
125,0.28890228
126,0.41034317
127,0.21064568
128,0.0
129,0.50300217
130,0.0
131,0.3059578
132,0.0
133,0.040794373
134,0.0
135,0.031754494
136,0.43488693
137,0.06412506
138,1.2340508
139,3.115944
140,0.24019718
141,0.0
142,0.0
143,0.23654413
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,2.4376478
150,0.68094826
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.34222794
157,0.638319
158,0.0
159,0.07106209
160,0.0019836426
161,0.0
162,0.0138168335
163,0.0
164,0.0
165,0.29445314
166,0.0
167,1.1696358
168,0.0
169,0.0
170,0.50370693
171,0.0
172,0.0
173,0.05291176
174,0.19247341
175,0.0
176,0.0
177,0.0
178,0.0
179,0.61206055
180,0.1935215
181,0.0
182,0.0
183,0.5297642
184,0.0
185,0.3965006
186,0.0
187,0.035541534
188,0.39115334
189,0.0
190,0.07394409
191,0.0012493134
192,0.0
193,0.521328
194,0.0
195,0.07321358
196,0.0
197,0.35404587
198,0.22543907
199,0.34167862
200,1.0513802
201,0.0
202,0.0
203,0.0
